t,angI,Inhibition,Renin,AGT,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
3.9760000000000004,356305522.77954006,94.16317217055344,5918.2582874261825,894038699694641.5,1.3384124750776192,6.372786215389368,36.502777458486655,116.21953267301389,24.99485587030067,9.59863718959711,0.35343686073364944,21.368743881124306
3.978,356305296.07622296,94.15415898898151,5907.32884017868,894038714065363.4,1.3404907807143105,6.382681967079898,36.44240523618747,116.22049522114168,25.033801093705332,9.613593109792847,0.35399031775533435,21.36985214528622
3.98,356305069.37290585,94.1451327547256,5896.399392931181,894038728436085.2,1.3425690863510014,6.392577718770422,36.38213286396765,116.22145776926945,25.07274631710998,9.628549029988577,0.3545437747770191,21.370960409448138
3.9819999999999998,356304842.6695888,94.13609345155713,5885.469945683678,894038742806807.1,1.3446473919876922,6.402473470460947,36.32196017668434,116.22242031739725,25.111691540514638,9.643504950184314,0.355097231798704,21.372068673610055
3.984,356304615.96627164,94.12704106323572,5874.540498436175,894038757177529.1,1.3467256976243835,6.412369222151475,36.261887009467884,116.22338286552501,25.1506367639193,9.658460870380049,0.3556506888203889,21.373176937771973
3.986,356304389.26295453,94.1179755735092,5863.611051188673,894038771548251.1,1.3488040032610746,6.422264973842001,36.20191319772128,116.2243454136528,25.189581987323958,9.673416790575784,0.3562041458420738,21.374285201933887
3.988,356304162.5596374,94.10889696611342,5852.68160394117,894038785918973.1,1.3508823088977662,6.432160725532529,36.14203857711977,116.22530796178059,25.228527210728622,9.68837271077152,0.3567576028637587,21.375393466095804
3.99,356303935.8563204,94.09980522477245,5841.752156693667,894038800289694.9,1.3529606145344573,6.442056477223056,36.08226298361035,116.22627050990837,25.267472434133282,9.703328630967258,0.3573110598854436,21.376501730257722
3.9920000000000004,356303709.1530033,94.09070033319863,5830.822709446164,894038814660416.9,1.3550389201711486,6.451952228913585,36.022586253411355,116.22723305803613,25.306417657537942,9.718284551162991,0.3578645169071285,21.37760999441964
3.994,356303482.44968617,94.08158227509243,5819.893262198661,894038829031138.8,1.3571172258078399,6.4618479806041105,35.96300822301201,116.22819560616394,25.345362880942606,9.733240471358727,0.3584179739288134,21.378718258581554
3.996,356303255.7463691,94.0724510341426,5808.963814951162,894038843401860.9,1.3591955314445305,6.471743732294636,35.903528729171974,116.22915815429172,25.384308104347248,9.748196391554456,0.35897143095049816,21.37982652274347
